July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Units are (°C).


TC_time        	TC_0	TC_1	TC_2	TC_3	TC_4	TC_5	TC_6	TC_7	TC_8	TC_9	TC_10	TC_11	TC_12	TC_13	TC_14	TC_15
8195.864792	158.003	163.214	164.933	168.906	169.632	169.982	169.518	170.345	168.581	166.086	161.393	159.800	155.043	149.513	143.353	136.400
8195.865793	167.911	168.225	165.012	164.053	159.883	155.405	150.220	146.473	140.300	133.598	124.918	119.629	111.437	102.776	93.808	84.384
8195.866798	141.785	137.346	129.584	124.354	116.172	107.994	99.439	92.713	83.906	74.963	64.406	57.774	48.599	39.393	30.329	21.257
8195.867790	88.871	81.997	72.125	65.262	55.795	46.764	37.787	31.167	22.843	14.836	5.598	0.933	-5.934	-12.462	-18.410	-23.941
8195.868783	32.024	25.597	16.476	10.920	3.067	-3.894	-10.455	-14.143	-19.245	-23.642	-28.985	-29.229	-31.514	-33.133	-33.950	-34.191
8195.869786	-17.087	-20.054	-25.470	-26.762	-30.135	-32.288	-33.689	-31.910	-31.420	-30.100	-29.660	-24.112	-20.652	-16.625	-11.951	-6.912
8195.870778	-34.955	-32.158	-31.742	-27.117	-24.581	-20.875	-16.526	-9.225	-3.418	2.884	8.087	17.828	25.230	32.793	40.568	48.278
8195.871773	-11.910	-3.922	1.450	10.568	17.373	24.940	32.739	42.924	51.312	59.804	66.797	77.689	85.909	93.843	101.543	108.745
8195.872773	43.040	53.491	61.091	71.792	79.839	88.155	96.237	106.165	113.918	121.330	126.852	135.747	141.633	146.843	151.446	155.201
8195.873767	105.632	115.244	121.664	130.676	136.691	142.569	147.832	154.549	158.782	162.355	163.760	168.244	169.505	169.891	169.501	168.132
8195.874766	154.107	159.940	162.303	166.940	168.345	169.381	169.610	171.128	170.049	168.228	164.195	163.240	159.097	154.152	148.545	142.108
8195.875768	168.326	169.010	166.160	165.556	161.730	157.583	152.714	149.263	143.367	136.922	128.476	123.391	115.382	106.875	98.034	88.708
8195.876762	146.261	142.250	134.885	130.009	122.146	114.245	105.924	99.381	90.716	81.868	71.363	64.717	55.489	46.179	36.962	27.686
8195.877762	95.569	88.824	79.044	72.213	62.737	53.647	44.559	37.765	29.226	20.953	11.407	6.362	-0.919	-7.861	-14.314	-20.396
8195.878755	35.050	28.526	19.292	13.591	5.578	-1.570	-8.311	-12.229	-17.578	-22.237	-27.855	-28.389	-30.971	-32.892	-34.015	-34.562
8195.879754	-15.163	-18.381	-24.058	-25.630	-29.289	-31.738	-33.443	-31.970	-31.785	-30.766	-30.622	-25.353	-22.166	-18.397	-13.965	-9.144
8195.880756	-35.044	-32.490	-32.315	-27.922	-25.611	-22.121	-17.977	-10.861	-5.215	0.937	5.999	15.625	22.926	30.405	38.115	45.779
8195.881748	-12.328	-4.378	0.956	10.041	16.818	24.360	32.138	42.309	50.687	59.173	66.165	77.060	85.288	93.234	100.950	108.173
8195.882753	32.024	42.281	49.746	60.419	68.499	76.933	85.212	95.423	103.525	111.357	117.364	126.823	133.328	139.216	144.550	149.087
8195.883743	94.360	104.368	111.248	120.801	127.419	133.966	139.959	147.464	152.533	156.987	159.310	164.749	166.988	168.369	168.987	168.630
8195.884739	144.675	151.671	155.251	161.161	163.877	166.257	167.853	170.752	171.055	170.610	167.936	168.310	165.461	161.765	157.352	152.047
8195.885742	168.227	170.292	168.816	169.565	167.063	164.202	160.571	158.298	153.519	148.118	140.641	136.429	129.209	121.396	113.149	104.317
8195.886730	155.056	152.109	145.744	141.783	134.760	127.610	119.947	113.954	105.747	97.252	87.007	80.477	71.277	61.882	52.465	42.877
8195.887732	109.654	103.322	93.873	87.245	77.887	68.804	59.615	52.585	43.719	35.006	24.928	19.189	11.130	3.330	-4.016	-11.160
8195.888728	51.163	44.270	34.584	28.267	19.552	11.565	3.908	-1.037	-7.498	-13.423	-20.384	-22.365	-26.431	-29.886	-32.578	-34.715
8195.889727	-3.879	-8.270	-15.207	-18.154	-23.235	-27.170	-30.409	-30.513	-31.912	-32.477	-33.908	-30.155	-28.449	-26.103	-23.023	-19.469
8195.890724	-34.267	-33.060	-34.228	-31.143	-30.117	-27.865	-24.903	-18.889	-14.265	-8.982	-4.755	4.131	10.776	17.699	24.957	32.269
8195.891728	-22.325	-15.598	-11.356	-3.212	2.627	9.378	16.489	26.148	34.114	42.314	49.128	60.015	68.328	76.479	84.517	92.176
8195.892718	24.892	34.959	42.272	52.868	60.911	69.366	77.719	88.064	96.344	104.405	110.686	120.473	127.345	133.642	139.425	144.447
8195.893721	84.549	94.807	101.992	111.926	118.977	126.017	132.560	140.670	146.388	151.537	154.592	160.799	163.833	166.033	167.486	167.976
8195.894715	138.756	146.327	150.515	157.069	160.458	163.536	165.849	169.480	170.525	170.825	168.894	170.005	167.880	164.891	161.162	156.515
8195.895710	167.207	169.963	169.178	170.617	168.797	166.605	163.626	161.982	157.806	152.976	146.040	142.324	135.561	128.162	120.284	111.770
8195.896707	158.279	155.836	149.950	146.436	139.829	133.059	125.739	120.043	112.096	103.816	93.746	87.331	78.206	68.839	59.400	49.741
8195.897705	115.254	109.145	99.885	93.396	84.141	75.116	65.941	58.870	49.924	41.086	30.843	24.873	16.548	8.438	0.721	-6.761
8195.898703	63.163	56.147	46.273	39.651	30.567	22.119	13.913	8.302	1.135	-5.518	-13.340	-16.293	-21.370	-25.883	-29.675	-32.946
8195.899706	7.055	1.846	-5.913	-9.886	-16.059	-21.157	-25.617	-27.003	-29.709	-31.606	-34.382	-31.965	-31.579	-30.520	-28.683	-26.320
8195.900699	-29.603	-30.261	-33.310	-32.118	-32.976	-32.575	-31.416	-27.116	-24.148	-20.425	-17.654	-9.946	-4.444	1.410	7.753	14.292
8195.901694	-29.603	-24.296	-21.421	-14.479	-9.712	-3.945	2.241	11.145	18.453	26.120	32.510	43.148	51.306	59.424	67.554	75.422
8195.902688	10.784	20.299	27.142	37.420	45.233	53.577	61.933	72.414	80.922	89.319	96.032	106.377	113.889	120.920	127.527	133.456
8195.903696	69.492	79.981	87.478	97.844	105.410	113.061	120.305	129.209	135.796	141.887	145.951	153.236	157.399	160.773	163.439	165.172
8195.904690	125.875	134.431	139.680	147.379	151.975	156.324	159.959	164.957	167.400	169.121	168.624	171.170	170.473	168.892	166.543	163.236
8195.905681	163.060	167.222	167.864	170.737	170.352	169.584	168.006	167.730	164.881	161.328	155.611	153.039	147.349	140.940	133.962	126.256
8195.906680	164.743	163.714	159.189	156.964	151.575	145.940	139.664	134.906	127.799	120.252	110.812	104.879	96.134	87.023	77.715	68.059
8195.907691	136.054	131.145	122.953	117.344	108.827	100.366	91.580	84.686	75.760	66.755	56.186	49.622	40.563	31.530	22.702	13.923
8195.908683	88.871	81.997	72.125	65.262	55.795	46.764	37.787	31.167	22.843	14.836	5.598	0.933	-5.934	-12.462	-18.410	-23.941
8195.909699	37.491	30.895	21.577	15.766	7.631	0.327	-6.543	-10.637	-16.178	-21.045	-26.877	-27.642	-30.458	-32.620	-33.987	-34.780
8195.910687	-9.773	-13.611	-19.942	-22.219	-26.604	-29.809	-32.291	-31.611	-32.220	-31.991	-32.628	-28.106	-25.647	-22.574	-18.800	-14.589
8195.911680	-34.630	-33.118	-33.979	-30.592	-29.269	-26.729	-23.490	-17.216	-12.345	-6.839	-2.418	6.644	13.452	20.516	27.890	35.297
8195.912667	-19.633	-12.516	-7.909	0.502	6.657	13.667	21.001	30.838	38.951	47.261	54.154	65.068	73.380	81.495	89.461	97.014
8195.913670	31.422	41.665	49.119	59.788	67.867	76.305	84.591	94.815	102.933	110.786	116.818	126.306	132.842	138.765	144.138	148.717
8195.914659	93.755	103.780	110.681	120.261	126.907	133.487	139.516	147.060	152.172	156.671	159.041	164.529	166.818	168.252	168.922	168.618
8195.915664	145.076	152.030	155.565	161.427	164.094	166.424	167.968	170.814	171.064	170.566	167.839	168.161	165.261	161.515	157.054	151.703
8195.916660	168.049	170.274	168.957	169.864	167.519	164.812	161.329	159.199	154.557	149.285	141.930	137.829	130.710	122.990	114.824	106.060
8195.917654	158.279	155.836	149.950	146.436	139.829	133.059	125.739	120.043	112.096	103.816	93.746	87.331	78.206	68.839	59.400	49.741
8195.918659	119.602	113.691	104.602	98.246	89.096	80.140	70.999	63.919	54.934	46.020	35.669	29.538	21.026	12.692	4.714	-3.048
8195.919656	59.998	53.003	43.167	36.613	27.614	19.275	11.203	5.752	-1.224	-7.705	-15.315	-18.021	-22.839	-27.080	-30.587	-33.564
8195.920647	0.928	-3.820	-11.170	-14.604	-20.197	-24.672	-28.476	-29.171	-31.170	-32.345	-34.388	-31.239	-30.127	-28.359	-25.833	-22.810
8195.921643	-32.521	-32.228	-34.313	-32.142	-32.022	-30.653	-28.548	-23.342	-19.496	-14.938	-11.374	-2.996	3.094	9.547	16.401	23.379
