July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Counter data is in units of (Counts). Voltage data is in units of (V).


VI_time      	ctr0	VI_0	VI_1	VI_2	VI_3	VI_4	VI_5	VI_6	VI_7	VI_8	VI_9	VI_10	VI_11	VI_12	VI_13	VI_14	VI_15	VI_16	VI_17	VI_18	VI_19	VI_20	VI_21	VI_22	VI_23	VI_24	VI_25	VI_26	VI_27	VI_28	VI_29	VI_30	VI_31
8195.805682	0.000	3.758	3.138	2.215	1.570	0.661	-0.216	-1.099	-1.772	-2.616	-3.440	-4.386	-4.923	-5.671	-6.390	-7.064	-7.709	-8.186	-8.544	-8.983	-9.285	-9.275	-9.603	-9.793	-9.846	-9.790	-9.550	-9.303	-9.019	-8.670	-8.261	-7.923	-7.245
8195.806679	0.000	-2.027	-2.680	-3.593	-4.184	-4.993	-5.729	-6.429	-6.877	-7.458	-7.983	-8.594	-8.764	-9.117	-9.414	-9.643	-9.823	-9.820	-9.684	-9.622	-9.417	-8.899	-8.722	-8.414	-7.980	-7.450	-6.755	-6.074	-5.380	-4.648	-3.888	-3.232	-2.271
8195.807675	0.000	-7.178	-7.566	-8.175	-8.427	-8.865	-9.201	-9.474	-9.473	-9.584	-9.623	-9.736	-9.399	-9.240	-9.024	-8.744	-8.421	-7.926	-7.312	-6.790	-6.146	-5.216	-4.653	-3.991	-3.236	-2.421	-1.480	-0.593	0.265	1.118	1.956	2.645	3.594
8195.808960	0.000	-9.849	-9.649	-9.655	-9.292	-9.110	-8.822	-8.475	-7.861	-7.373	-6.828	-6.379	-5.505	-4.839	-4.150	-3.433	-2.715	-1.867	-0.947	-0.167	0.684	1.771	2.435	3.146	3.895	4.649	5.477	6.198	6.837	7.422	7.943	8.269	8.814
8195.809958	0.000	-7.997	-7.301	-6.830	-6.011	-5.398	-4.708	-3.990	-3.039	-2.249	-1.443	-0.774	0.277	1.077	1.855	2.615	3.330	4.129	4.955	5.595	6.263	7.124	7.522	7.927	8.335	8.714	9.135	9.421	9.602	9.707	9.730	9.546	9.570
8195.810953	0.000	-3.205	-2.222	-1.502	-0.476	0.303	1.115	1.912	2.896	3.674	4.423	4.990	5.896	6.508	7.056	7.547	7.956	8.413	8.864	9.100	9.337	9.743	9.667	9.581	9.486	9.353	9.257	9.025	8.691	8.288	7.815	7.149	6.708
8195.811948	0.000	2.731	3.696	4.354	5.273	5.901	6.520	7.081	7.791	8.257	8.660	8.849	9.347	9.525	9.616	9.630	9.547	9.499	9.437	9.156	8.875	8.768	8.184	7.604	7.028	6.433	5.898	5.252	4.533	3.777	2.984	2.036	1.352
8195.812945	0.000	7.477	8.139	8.460	9.011	9.242	9.439	9.557	9.804	9.791	9.705	9.396	9.391	9.067	8.659	8.181	7.617	7.104	6.594	5.887	5.205	4.724	3.799	2.909	2.060	1.229	0.498	-0.302	-1.134	-1.960	-2.778	-3.709	-4.331
8195.813939	0.000	9.543	9.707	9.517	9.550	9.259	8.933	8.532	8.268	7.757	7.186	6.413	5.967	5.226	4.432	3.600	2.716	1.921	1.168	0.260	-0.581	-1.176	-2.172	-3.086	-3.914	-4.677	-5.297	-5.941	-6.574	-7.160	-7.698	-8.312	-8.581
8195.814938	0.000	7.941	7.612	6.946	6.522	5.798	5.065	4.286	3.677	2.855	2.011	1.003	0.365	-0.526	-1.426	-2.320	-3.220	-3.987	-4.666	-5.457	-6.136	-6.528	-7.279	-7.909	-8.417	-8.826	-9.060	-9.290	-9.483	-9.606	-9.664	-9.782	-9.545
